21,2018-11-25 05:00:00+00,Kensie,481811,Network Transport LLC,Pregis Innovative Packaging,Pregis Innovative Packaging,"Plymouth, IN 46563","Sutton, MA 01590","1411 Pidco Dr, Plymouth, IN 46563","38 Providence Road, Sutton, MA 01590",2650,883,114,997,2.66,575,548,265,0,0,0,0,0,0,0,0,1388,1262,NA,6545,Vented Van,0,2018-12-03 15:58:13.585+00,2018-12-03 15:58:13.585+00,20,4,119
22,2018-11-28 05:00:00+00,Kensie,4883006,Landstar,Service Transport Group,Minerva Enterprises,"Woonsocket, RI 02895","Waynesburg, OH 44688","28 Privilege St, Woonsocket, RI 02895","8955 Minerva Road, Waynesburg, OH 44688",850,635,21,656,1.3,378,361,85,0,0,0,0,0,0,0,0,824,26,Construction Material,40000,Dry Van,0,2018-12-03 16:46:20.199+00,2018-12-03 16:46:20.199+00,15,4,119
24,2018-11-29 05:00:00+00,Kensie,1397359,Cavalry Logistics,GDC,TTI,"Glenwillow, OH 44139","Algood, TN 38506","7005 Cochran Rd. Glenwillow, OH 44139","2119C Buront Branch Rd. Algood, TN 38506",1060,500,60,560,1.89,323,308,106,0,0,0,0,0,0,0,0,737,323,NA,20000,Van,0,2018-12-03 17:02:10.793+00,2018-12-03 17:02:10.793+00,22,4,119
25,2018-11-30 05:00:00+00,Kensie,402148,Fuel Transport,NDC Offsite Inbound,Supervalu Inc,"Lebanon, TN 37090","Pompano Beach, FL 33069","1050 International Drive, Lebanon, TN 37090","1141 SW 12th Ave, Pompano Beach, FL 33069",2400,871,72,943,2.55,544,519,240,0,0,0,0,0,0,0,0,1302,1098,NA,13476,Van,0,2018-12-03 17:06:46.404+00,2018-12-03 17:06:46.404+00,23,4,119
26,2018-12-03 05:00:00+00,Kensie,292526,Bat Logistics,Atlas Paper Mills Ltd,Dollar General,"Miami, FL 33167","Bethel, PA 19507","3301 NW 107th St, Miami, FL 33167","30 Martha Dr. Bethel, PA 19507",1400,1200,30,1230,1.14,709,677,140,0,0,0,0,0,0,0,0,1526,-126,Bath Tissue,17136,Van,0,2018-12-03 17:15:42.151+00,2018-12-03 17:15:42.151+00,24,4,119
28,2018-12-06 05:00:00+00,Kensie,1518542,Ryan Transportation,Omya,S-W Morrow,"Florence, VT 05744","Morrow, GA 30260","206 Omya West, Florence, VT 05747","6795 Main Street, Morrow, GA 30260",1850,1124,201,1325,1.4,764,729,185,0,0,0,0,0,0,0,0,1678,172,Mineral Coatings,42000,Van,0,2018-12-09 21:18:10.906+00,2018-12-09 21:18:10.906+00,25,4,119
27,2018-12-05 05:00:00+00,Kensie,137607,Axle Logistics,Lebanon Seaboard,Dave's Lawn Care,"Lebanon, PA 17042","Warwick, RI 02889","1600 E Cumberland St, Lebanon, PA 17042","303 Vineyard Rd, Warwick, RI 02889",1236,328,13,341,3.62,197,188,124,0,0,0,0,0,0,0,0,508,728,Agricultural Products,36621,Van,0,2018-12-09 21:07:46.663+00,2018-12-09 21:22:42.509+00,5,4,119
29,2018-12-10 05:00:00+00,Kensie,30759,The Titan Business Group,Turnils Buford,"Oxford House, Chicago Blind Company","Buford, GA 30519","Joliet, IL 60433","1750 Satellite Blvd. Ste.100, Buford, GA 30519","20607 Burl Court, Joliet, IL 60433",1050,743,50,793,1.32,457,436,105,0,0,0,0,0,0,0,0,998,52,Building Materials,0,Van,0,2018-12-12 02:46:21.345+00,2018-12-12 02:46:21.345+00,27,4,119
30,2018-12-11 05:00:00+00,Kensie,SL205107406,Schneider,Pregis,Madison Polymeric Engineering,"Plymouth, IN 46563","Branford, CT 06405","1411 Pidco Dr, Plymouth, IN 46563","965 W Main St, Branford, CT 06405",2350,809,102,911,2.58,525,501,235,0,0,0,0,0,0,0,0,1261,1089,Packaging Material,3374,Van,0,2018-12-12 02:59:20.927+00,2018-12-12 02:59:20.927+00,28,4,119
32,2018-12-14 05:00:00+00,Kensie,158550,Cerasis Inc.,Aluminum Line Products,Dorsey Trailer,"Westlake, OH 44145","Elba, AL 36323","24460 Sperry Circle, Westlake, OH 44145","1315 Hickman Ave, Elba, AL 36323",2100,924,82,1006,2.09,537,553,210,0,0,0,0,0,0,0,0,1300,800,Aluminum Coils Steel in sheets,25044,Van,0,2018-12-14 01:42:37.507+00,2018-12-14 01:42:37.507+00,29,4,119
31,2018-12-12 05:00:00+00,Kensie,OHB113897,West Motor Freight of PA,RTL Enterprises,Minerva Enterprises,"Portland, CT 06480","Waynesburg, OH 44688","173 Pickering St, Portland, CT 06480","8955 Minerava Rd, Waynesburg, OH 44688",900,546,34,580,1.55,309,319,90,0,0,0,0,0,0,0,0,718,182,Construction Material,0,Van,0,2018-12-14 01:00:12.804+00,2018-12-14 01:43:23.766+00,14,4,119
33,2018-12-17 05:00:00+00,Kensie,5056487,AMX Logistics,Warehouse Services Inc,Sabic Innovative Plastics US LLC,"Montgomery, AL 36105","Selkirk, NY 12158","151 Folmar Parkway, Montgomery, AL 36105","84 Services Road, Selkirk, NY 12158",2200,1174,78,1252,1.76,668,689,220,0,0,0,0,0,0,0,0,1576,624,NA,40000,Van,0,2018-12-18 03:35:00.211+00,2018-12-18 03:35:00.211+00,31,4,119
34,2018-12-19 05:00:00+00,Kensie,118056,Firststar Logistics,NTI Global,SPP Distributor,"Amsterdam, NY 12010","Fort Wayne, IN 46802","50 Willow Street, Amsterdam, NY 12010","432A 3433 Blvd, Fort Wayne, IN 46802",900,650,43,693,1.3,370,381,90,0,0,0,0,0,0,0,0,841,59,NA,0,Van,0,2018-12-21 01:44:20.223+00,2018-12-21 01:44:20.223+00,32,4,119
35,2018-12-20 05:00:00+00,Kensie,5961,Seneca Logistics Group,Trans Global Inc,Utilities Trailer Sales of Georgia,"Carey, OH 43316","Stockbridge, GA 30281","225 North Patterson Street, Carey, OH 43316","1150 Southcrest Dr, Stockbridge, GA 30281",1300,656,112,768,1.69,410,422,130,0,0,0,0,0,0,0,0,962,338,pallets,21434,Van,0,2018-12-21 01:51:25.688+00,2018-12-21 01:51:25.688+00,33,4,119
43,2019-01-07 00:00:00+00,Kensie,4181750,Allen Lund Company,Shearers-Burlington,Demoulas Supermarket,"Burlington, IA 52601","Tewksbury, MA 01876","401 South Roosevelt Ave, Burlington, IA 52601","875 East Street, Tewksbury, MA 01876",2950,1206,53,1259,2.34,671,692,295,0,0,0,0,0,0,0,0,1659,1291,Snacks,32888,Van,"",2019-01-08 00:44:18.584+00,2019-01-08 00:44:18.584+00,40,4,119
39,2019-01-03 00:00:00+00,Kensie,775524,Swift Logistics LLC,P&cel Logistic,Dollar General,"Tunkhannock, PA 18657","Zanesville, OH 43701","279 P&rehouse Way, Tunkhannock, PA 18657","2505 East Point Dr, Zanesville, OH 43701",800,410,38,448,1.79,239,246,80,0,0,0,0,0,0,0,0,565,235,Paper products,13786,Van,"",2019-01-04 03:02:46.067+00,2019-01-08 00:58:13.385+00,37,4,119
47,2019-01-14 00:00:00+00,Kensie,816110,Frwd Logistics,Isolatek,Blue Water View,"Netcong, NJ 07857","Port Huron, MI 48060","37 Flanders Road, Netcong, NJ 07857","205 Glenwood Avenue, Port Huron, MI 48060",875,632,126,758,1.15,404,417,88,0,0,0,0,0,0,0,0,909,-34,NA,0,Van,"",2019-01-20 15:16:12.226+00,2019-01-20 15:16:12.226+00,42,4,119
36,2018-12-27 00:00:00+00,Kensie,296800,Bat Logistics,Bio Lab Inc,Dollar General Marion DC,"Conyers, GA 30012","Marion, IN 46952","1700 Old Covington Hwy, Conyers, GA 30012","5575 East Dollar General Way, Marion, IN 46952",900,616,70,686,1.31,366,377,90,0,0,0,0,0,0,0,0,833,67,NA,0,Van,"",2018-12-31 03:13:55.805+00,2018-12-31 03:48:55.849+00,24,4,119
37,2018-12-28 00:00:00+00,Kensie,0281241,TA Services,Home Depot RLC,RTV Actions,"Plainfield, IN 46168","Atlanta, GA 30336","1390 Perry Rd, Plainfield, IN 46168","6077 Fulton Industrial Blvd, Atlanta, GA 30336",1500,547,100,647,2.32,345,356,150,0,0,0,0,0,0,0,0,851,649,Building Materials,40000,Van,"",2018-12-31 03:14:04.84+00,2018-12-31 03:49:16.929+00,35,4,119
55,2019-02-05 00:00:00+00,Philip,7236601,Landstar,Polar Air Cargo,Polar Air Cargo,"Hebron, KY 41048","Miami, FL 33150","1121 Aviation Blvd, Hebron, KY 41048","1951 NW 68TH STE 106, Miami, FL 33150",2450,1116,26,1142,2.15,609,628,245,0,0,0,0,0,0,0,0,1482,968,NA,0,Van,"",2019-02-11 03:17:22.84+00,2019-02-11 03:17:22.84+00,15,5,119
59,2019-02-12 00:00:00+00,Philip,G2893441,Greatwide Dallas Mavis LLC,Fedex MSP,Fedex DAY,"Saint Paul, MN 55101","Dayton, OH 45424","2323 Terminal Road, Saint Paul, MN 55101","8101 Terminal Place, Dayton, OH 45424",1500,705,73,778,1.93,415,428,150,0,0,0,0,0,0,0,0,993,507,NA,42000,Van,"",2019-02-13 00:05:17.574+00,2019-02-13 00:05:17.574+00,51,5,119
